"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Using Fog Computing to Manage Data Confidentiality in the Internet of Things: The Case of an Electronic Bracelet to Relieve Prison Overcrowding in Senegal","G. Abdourahime; S. Dieynaba","Department of Computer Engineering and Communication, University Alioune DIOP, Bambey, Senegal; Department of Computer Engineering and Communication, University Alioune DIOP, Bambey, Senegal",2024 Asian Conference on Communication and Networks (ASIANComNet),"30 Dec 2024","2024","","","1","4","This work deals with the problem of prison overcrowding in Senegal and the use of electronic bracelets to reduce this overcrowding. Electronic bracelets collect a variety of data such as location, movements, communication data and biometric data. However, data security is a major concern. The aim of the work is to protect this data by using Internet of Things (IoT) and Fog Computing technologies to limit the data collection perimeter, thereby reducing the transfer of massive amounts of data to remote data offices. The architecture implemented aims to collect only the necessary data from remand and correctional office controlled by departmental courts, to comply with data protection laws and to implement security policies to prevent external attacks. This approach aims to guarantee data confidentiality while enabling the use of electronic bracelets to improve the prison situation in Senegal.","","979-8-3503-6700-3","10.1109/ASIANComNet63184.2024.10811020","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10811020","Internet of Things;security;jail overcrowding;electronic bracelets;fog computing;data protection","Biometrics;Data security;Data protection;Computer architecture;Data collection;Internet of Things;Protection;Edge computing","","","","17","IEEE","30 Dec 2024","","","IEEE","IEEE Conferences"
"Application Research of Information Technology in Modern Prison Management","L. Xu","Sichuan Vocational College of Justical Police, Deyang, Sichuan","2021 International Conference on Education, Information Management and Service Science (EIMSS)","19 Nov 2021","2021","","","333","336","This paper analyzes the characteristics of modern prison informatization management. The author has studied information technology development management, visiting registration management, criminal inquiry, book management service, reservation, access control management, video monitoring management, system implementation management, dynamic management, prison culture management. This paper studies how to do data integration work, improve data sharing, and strengthen the construction of talent team. The author's purpose is to enhance the effectiveness in the process of modern prisons, reducing the chances of unreasonable problems.","","978-1-6654-2707-4","10.1109/EIMSS53851.2021.00078","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9603669","information technology;modern prison management;system development management","Access control;Education;Data integration;Information management;Information technology;System implementation;Monitoring","","","","8","IEEE","19 Nov 2021","","","IEEE","IEEE Conferences"
"Kiosk AI Chatbot Monitoring System for Early Detection of Mental Illness Among the Prisoners","S. Pokhriyal; R. Bahuguna; M. Memoria; R. Kumar","Law College Dehradun, Uttaranchal University, Dehradun, Uttarakhand, India; Law College Dehradun, Uttaranchal University, Dehradun, Uttarakhand, India; Uttaranchal Institute of Technology, Uttaranchal University, Dehradun, Uttarakhand, India; Uttaranchal Institute of Technology, Uttaranchal University, Dehradun, Uttarakhand, India",2023 6th International Conference on Contemporary Computing and Informatics (IC3I),"26 Jan 2024","2023","6","","159","164","The mental health problems among the prisoners has always been there and is increasing rapidly with time but there is no proper mechanism for its identification and neither there is any definite solution to this problem, it is one of the unexplored areas of research in India. This review paper identifies the factors affecting the mental health of prisoners, its types and legal provisions that adversely affect the mental health of the prisoners in India and the role of artificial intelligence in early identification and detection of mental illness among the prisoners. This review paper also discusses AI based verbal chatbot technology that can be incorporated in the prison through Kiosk which would have an enormous database of questions related to mental health of the prisoners, which would ask the questions verbally and receive the responses, and prepare a report of the mental health of the prisoner and provide a comprehensive report to the authorities related to prisoners mental health and it would also help them to identify that the prisoner is suffering from which kind mental health disorder. The modal that has been suggested by the researcher is distinctive and has not been used in Indian prison yet. This proposed technique solves the issue of early identification of mental health disorder in prisoners and lack of human resource in terms of healthcare staff as here the function of putting forward the question, analyzing the data, and sending the results to the appropriate authority is being done by the AI, and it will be helpful in reducing the workload of the prison system.","","979-8-3503-0448-0","10.1109/IC3I59117.2023.10398101","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10398101","Mental Health;Mental Healthcare;Prisoner;Prison;Incarceration;Prison Staff;Artificial Intelligence","Law;Mental health;Medical services;Chatbots;Artificial intelligence;Informatics;Monitoring","","","","21","IEEE","26 Jan 2024","","","IEEE","IEEE Conferences"
"Application of Virtual and Reality (VR) Technology in Prison Correction","L. Zheng","Sichuan Judicial and Police Officers Professional College, Deyang, China",2021 International Conference on Computer Technology and Media Convergence Design (CTMCD),"28 Jun 2021","2021","","","143","147","This article analyzes the foundation of Virtual and Reality (VR) technology. The research content of this paper includes scene modeling technology, scene roaming technology, scene interaction technology, etc. Through research and establishment of three-dimensional model, virtual scene optimization, collision detection experiment, viewpoint navigation processing, building network management system, connection attribute database, script node call, link Technical application key points such as connection status description and computer room monitoring status description. The author proposes optimization suggestions during the application of virtual and reality (VR) technology, which is an active exploration based on the needs of prison correction of criminals. The purpose of this article is to improve the application effect of virtual reality technology, break through the original single, indoctrinating education method, and promote innovation in prison correction of criminals.","","978-1-6654-4856-7","10.1109/CTMCD53128.2021.00038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9463382","virtual reality technology;prison correction;scene modeling technology","Solid modeling;Technological innovation;Navigation;Computational modeling;Education;Virtual reality;Media","","1","","7","IEEE","28 Jun 2021","","","IEEE","IEEE Conferences"
"Factors Influencing Knowledge Sharing in Prison: A Review and AHP Analysis","E. Imandeka; A. N. Hidayanto; H. Suhartanto; J. Pidanic","Faculty of Computer Science, University of Indonesia, Depok, Indonesia; Faculty of Computer Science, University of Indonesia, Depok, Indonesia; Faculty of Computer Science, University of Indonesia, Depok, Indonesia; Faculty of Electrical Engineering and Informatics, University of Pardubice, Pardubice, Czech Republic",2023 6th International Conference of Computer and Informatics Engineering (IC2IE),"4 Dec 2023","2023","","","87","93","Knowledge sharing has been recognized as the most critical factor in successful knowledge management. Knowledge sharing in prison is a complicated topic that frequently faces resource restrictions, stigma and isolation, communication hurdles, and other security concerns. Moreover, resources for knowledge sharing in a secure environment are still few. This research investigates the critical factors for knowledge sharing in prisons. This research uses the Kitchenham approach with five reputable publishers from 2018 to 2023. There are 1284 articles in the initial phase and 25 in the final phase. Critical factors were ranked using Analytical Hierarchy Process (AHP) with the Triple-helix approach to the representatives of academics, policymakers, and the community in the Indonesian context. The critical knowledge-sharing factors are leadership support, organizational culture, organizational structure, incentives, and individual beliefs. However, acknowledging the critical factors can aid in improving the knowledge-sharing system in prison and changing the criminal justice system.","","979-8-3503-4516-2","10.1109/IC2IE60547.2023.10331288","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10331288","analytic hierarchy process;critical factors;knowledge sharing;prison","Leadership;Analytic hierarchy process;Knowledge management;Safety;Security;Informatics;Faces","","","","50","IEEE","4 Dec 2023","","","IEEE","IEEE Conferences"
"A green prison: The Santa Rita Jail campus microgrid","C. Marnay; N. DeForest; J. Lai","Ernest Orlando Lawrence Berkeley National Laboratory (Berkeley Lab), Berkeley, CA, USA; Berkeley Laboratory, Berkeley, CA, USA; Berkeley Laboratory, Berkeley, CA, USA",2012 IEEE Power and Energy Society General Meeting,"10 Nov 2012","2012","","","1","2","A large microgrid project is nearing completion at Alameda County's twenty-two-year-old 45 ha 4,000-inmate Santa Rita Jail, about 70 km east of San Francisco. Often described as a green prison, it has a considerable installed base of distributed energy resources (DER) including an eight-year old 1.2 MW PV array, a five-year old 1 MW fuel cell with heat recovery, and considerable efficiency investments. Fig. 1 is an aerial depiction of the Jail with the PV rooftop modules clearly visible.","1944-9925","978-1-4673-2729-9","10.1109/PESGM.2012.6345235","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6345235","buildings;cogeneration;dispersed storage and generation;microgrids;PV;fuel cells;power quality;power system economics;energy efficiency","Batteries;Fuel cells;Electricity;Investments;Control systems;Reliability","","17","","","IEEE","10 Nov 2012","","","IEEE","IEEE Conferences"
"Uncertainty Analysis of The Impact of Earthquake on Prison Building Safety","C. -J. Huang; T. -Y. Chiang; Y. -C. Chen; P. -W. Chang","Department of Criminal Justice, Ming Chuan University, Taipei, Taiwan; Department of Criminal Justice, Ming Chuan University, Taipei, Taiwan; Department of Criminal Justice, Ming Chuan University, Taipei, Taiwan; Department of Criminal Justice, Ming Chuan University, Taipei, Taiwan",2021 9th International Conference on Agro-Geoinformatics (Agro-Geoinformatics),"8 Sep 2021","2021","","","1","4","There are currently 26 correctional institutions in Taiwan, with a total of 55,315 inmates (according to the statistics of the Agency of Corrections, Ministry of Justice, in the end of May 2020). Most of the correctional institution facilities were built between 1973 to 1999, and a handful of them were built before 1973. Since Taiwan is located in the “ Circum-Pacific seismic belt” in the seismically active area, and there are 42 fault zones at the junction of the Philippine Sea Plate and the Eurasian Plate, the exposure to the chance of buildings’ falling down has become a public concern.If a very strong earthquake (Earthquake Magnitude Scale 7 or higher) strikes in the future 50 years, the correctional institution in Hsinchu will be specified as severe red earthquake alert level, worse than any other regions in Taiwan. The current research applies the Simple Earthquake Seismic System (SESS) and Taiwan Earthquake Loss Estimation System (TELES) to conduct earthquake simulations in Hsinchu to assess hazards and risks, the potential or possibilities of the occurrence of destruction of lives and infrastructure around the Hsinchu correctional institution. The loss modeling shows that 8,176 buildings collapse and the death toll is 500 in the case of TELES, while 21 buildings fall down and fatality estimation is 1,013 in the case of SESS. It is estimated that correctional institution buildings in Taiwan are at risk of falling down if an earthquake hits, and the government is advised to take some necessary precautions to help the facilities safe in an earthquake.","","978-1-7281-6561-5","10.1109/Agro-Geoinformatics50104.2021.9530353","Ministry of Science and Technology; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9530353","jail;TELES;SESS;GIS","Uncertainty;Earthquakes;Buildings;Government;Estimation;Hazards;Junctions","","","","11","IEEE","8 Sep 2021","","","IEEE","IEEE Conferences"
"Integrated Amrita Meditation (IAM®): Towards Sustainable Rehabilitation in Prisons Using Digital Mental Well-Being Intervention","M. Bavani; J. S. Von Lieres; S. Gopalan; R. Prasad","Amrita Darshanam -International Centre for Spiritual Studies Amrita Vishwa Vidyapeetham, Amritapuri, India; Center for Women's Empowerment and Gender Equality Amrita Vishwa Vidyapeetham, Amritapuri, India; Department of Electronics and Communication Engineering, Amrita Vishwa Vidyapeetham, Amritapuri, India; Amrita School of Business Kochi Amrita Vishwa Vidyapeetham, Kochi, India",2024 IEEE Global Humanitarian Technology Conference (GHTC),"3 Dec 2024","2024","","","454","460","This quasi-experimental study evaluates the impact of a three-month digital Integrated Amrita Meditation (IAM)® technique intervention program on the perceived stress levels of incarcerated populations. The availability of adequate mental healthcare in prison settings tends to be extremely limited, leading to a number of adverse effects on prisoners pre- and post-release and putting an already vulnerable segment of society at increased risk. In addition to reducing stress levels and positively affecting general mental well-being, offering IAM® sessions as a digital programme has been shown to reach greater population numbers. Such programmes could also increase the long-term accessibility and adherence to mental health promotion programmes postrelease, which has been correlated with decreased rates of recidivism and a more sustained constructive engagement in society.","2473-5728","979-8-3503-7734-7","10.1109/GHTC62424.2024.10771548","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10771548","Rehabilitation;Integrated Amrita Meditation (IAM®) Technique;Digital interventions;Perceived Stress;Prison","Economics;Protocols;Government;Mental health;Medical services;Security","","1","","35","IEEE","3 Dec 2024","","","IEEE","IEEE Conferences"
"Digital Transformation Factors in Prisons: Insights from Indonesia","E. Imandeka; A. N. Hidayanto; M. Mahmud","Faculty of Computer Science, Universitas Indonesia, Depok, Indonesia; Faculty of Computer Science, Universitas Indonesia, Depok, Indonesia; Department of Computer Science, Nottingham Trent University, Nottingham, United Kingdom",2024 7th International Conference of Computer and Informatics Engineering (IC2IE),"13 Nov 2024","2024","","","1","6","In the rapidly evolving landscape of digital transformation (DT), the pressure for correctional systems worldwide to adapt and innovate has intensified. Traditional methods of managing prisons have become increasingly untenable in the face of burgeoning inmate populations, strained resources, and evolving societal expectations. This research endeavors to bridge a knowledge gap in understanding the factors of DT within Indonesian prisons, and the exploration of its factors remains largely uncharted territory. Our research employs a grounded theory (GT) to gain a thorough insight into the DT factors occurring within Indonesian prisons. The DT factors for Indonesia prisons comprise 16 components, for a total of 50 factors. The DT factors goal is to pave the way for the enhancement of humane, effective, and accountable practices within prison environments.","","979-8-3315-0553-0","10.1109/IC2IE63342.2024.10748221","Universitas Indonesia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10748221","components;digital transformation;grounded theory;prison","Bridges;Leadership;Automation;Digital transformation;Collaboration;Smart systems;Regulation;Informatics;Computer security;Faces","","","","28","IEEE","13 Nov 2024","","","IEEE","IEEE Conferences"
"Albemarle-Charlottesville Regional Jail overcrowding systems analysis","A. C. Fu; R. A. Galione; A. J. Keith; M. G. Miller; C. A. Paxton; C. M. Vaccarello; M. C. Smith; K. P. White","University of Virginia, USA; University of Virginia, USA; University of Virginia, USA; University of Virginia, USA; University of Virginia, USA; University of Virginia, USA; Systems and Information Engineering, University of Virginia, USA; Systems and Information Engineering, University of Virginia, USA",2011 IEEE Systems and Information Engineering Design Symposium,"16 Jun 2011","2011","","","192","197","The Albemarle-Charlottesville Regional Jail, having been built to house less than the forecasted inmate population, is currently operating at 150% of its rated capacity. The ever growing inmate population has put a strain on the already limited jail resources. As the jail becomes more crowded, it is even more difficult to rehabilitate inmates. Consequently, recidivism is a continuous problem, putting added pressure on the criminal justice system and community. The project team developed a logic model to explain possible contributors to jail overcrowding. After performing analysis on the existing law enforcement and jail databases, the team focused on the opportunity for a coherent criminal justice data system that would support analysis and provide an accessible user interface. Such a database will enable jail management to make evidence-based decisions and will provide stakeholders with the necessary statistics to hold each member in the system accountable. These statistics will also serve as indices of performance and will assess the success of programs. In the long-term, such decisions will help alleviate overcrowding at ACRJ by reducing recidivism and delays in the system.","","978-1-4577-0447-5","10.1109/SIEDS.2011.5876879","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5876879","","Databases;Measurement;Communities;Safety;Analytical models;Law enforcement;Data models","","2","","5","IEEE","16 Jun 2011","","","IEEE","IEEE Conferences"
"Addressing the Corrections Crisis with Software Technology","P. O'Hagan; E. Hanna; R. Sterritt","Core Systems; Core Systems; University of Ulster, UK",Computer,"8 Feb 2010","2010","43","2","90","93","More than 2.3 million people currently live in US prisons or jails, 25 percent of the world's total inmate population, a comparatively much higher rate than in other Western countries. Denmark only incarcerates 66 of every 100,000 citizens, compared to 760 in the US (www.kcl.ac.uk/depsta/rel/icps/worldbrief/world_brief.html). This situation results from tough sentencing policies that focus on drug use and habitual offenders. Over three decades, these policies contributed to high incarceration rates. While most states have stopped enforcing these policies, the legacy remains, with high recidivism rates perpetuating the cycle. This situation has resulted in rampant overcrowding, with facilities operating at levels above design capacity and inmates frequently housed on bunks in recreational areas. Faced with rising costs and rampant overcrowding, correctional facilities are turning to software technologies for help.","1558-0814","","10.1109/MC.2010.29","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5410718","Corrections technology;Reliability technology;Software technology","Drugs;Costs;Turning","","5","","","IEEE","8 Feb 2010","","","IEEE","IEEE Magazines"
